budget,unc,jsd,rmse
0.0,0.6913140966842883,0.018080001029752685,0.026710359785634522
0.10000000000000142,0.6878966640288664,0.019004743252961465,0.03112950862646713
0.20000000000000284,0.6775061204803897,0.025542379393150044,0.04087426114677607
0.30000000000000426,0.6771291859309218,0.025145271958758902,0.04090731097012531
0.4000000000000057,0.683559667714352,0.025789179746961807,0.04143041057488729
0.5000000000000071,0.6881279941018942,0.029221214317765202,0.04467203359517177
0.6000000000000085,0.6905705745379236,0.039095367584607736,0.053392723062395196
0.70000000000001,0.6961921290461541,0.04239888582520268,0.05657425021127947
0.8000000000000114,0.7047282259376092,0.04767505674517703,0.06107881292880654
0.9000000000000128,0.698180923912958,0.04751821418985159,0.05963425641013729
1.0000000000000142,0.7075107653572451,0.051390356030927224,0.06411810500992497
1.1000000000000156,0.7154391613314334,0.051959929115539816,0.06535251514921002
1.200000000000017,0.7402022298858304,0.05396955337160599,0.06809412031938124
1.3000000000000185,0.7563153306401337,0.05553097744175095,0.07030374248450798
1.40000000000002,0.7655231629395775,0.05544422010570172,0.07118824318091636
1.5000000000000213,0.7840531319347733,0.060841702544774695,0.07575852118682623
1.6000000000000227,0.7891108902271969,0.0680336095251442,0.0806505830259471
1.7000000000000242,0.788186252329773,0.07570871642244002,0.08628094218328336
1.8000000000000256,0.7925108005188694,0.08323596202085877,0.09182142211786608
1.900000000000027,0.8086338398347103,0.08189420547330334,0.09446169044942021
2.0000000000000284,0.8213479813386355,0.0806875358461746,0.0971722785357469
2.10000000000003,0.8299665648884482,0.07907365239508905,0.1017989364737658
2.2000000000000313,0.8348332323167312,0.08696943463389761,0.10500705163675421
2.3000000000000327,0.8341481914425654,0.10434102663515898,0.11006267365596899
2.400000000000034,0.8426011577754347,0.09169534979768797,0.11311718186329899
2.5000000000000355,0.8047125965874268,0.08386460971607938,0.10727199669798428
2.600000000000037,0.8158869519262625,0.08583045094734328,0.11051632666036508
2.7000000000000384,0.8167369947369701,0.08480131714374002,0.11313585817125504
2.80000000000004,0.817311491829421,0.09877845733622782,0.11833724747184093
2.900000000000041,0.8206120146753467,0.1048833852539955,0.12091949437946876
3.0000000000000426,0.7908392197031487,0.09754723077191418,0.11276054806010391
3.100000000000044,0.7869626059674807,0.11275958178935314,0.11833387895274627
3.2000000000000455,0.7923573648534612,0.11322158540788836,0.11906237691478373
3.300000000000047,0.7978473584200264,0.12257446666634904,0.12179587190559395
3.4000000000000483,0.8060517645096855,0.1277616970102096,0.1237215047525177
3.5000000000000497,0.8129744337257918,0.12798293562012839,0.12459454681348893
3.600000000000051,0.816504691088777,0.14122248378790586,0.12776663204997143
3.7000000000000526,0.8129654076906349,0.15370252135570286,0.13028773460905552
3.800000000000054,0.7738769223074947,0.13911182649883833,0.12154887839710539
3.9000000000000554,0.7630732371792751,0.1517423471272202,0.12397581015627723
4.000000000000057,0.7278923300896302,0.14922973599381642,0.11715655200664585
4.100000000000058,0.7135156765436745,0.1697787579069371,0.12327301738361424
4.20000000000006,0.7143136845857386,0.17694400529912194,0.1257584713285231
4.300000000000061,0.7186443529360274,0.18309007244323597,0.12787181782078544
4.4000000000000625,0.7274375630045459,0.18475682402864,0.12906429029874036
4.500000000000064,0.7357798793226066,0.2012628272299225,0.13224133380980613
4.600000000000065,0.7451114181463337,0.20980884918403833,0.1336192147249752
4.700000000000067,0.7567947178418888,0.21909928625529407,0.1353528783121437
4.800000000000068,0.7676128634538243,0.22016682382063402,0.1358670175915183
4.90000000000007,0.7742135941880965,0.24376869762434347,0.1407072603721603
5.000000000000071,0.777731077915813,0.2824611046450325,0.1434492435933327
5.1000000000000725,0.7767662649434316,0.2947458318855442,0.1438057447371985
5.200000000000074,0.7768802484100096,0.3249991233277943,0.14626154686606274
5.300000000000075,0.7835697062115544,0.3506799303159162,0.14765502764168023
5.400000000000077,0.7934669354127992,0.35815575641044833,0.14795741143568666
5.500000000000078,0.8086130398037551,0.3812714625435078,0.1499807522710391
5.60000000000008,0.8235691456898625,0.3884377690072842,0.1510435808682924
5.700000000000081,0.834352559458801,0.39585654007811355,0.15206245583378472
5.800000000000082,0.8413812142079093,0.41674082389405576,0.15391551590538508
5.900000000000084,0.8257389184042597,0.43064333393209875,0.1550262828171054
6.000000000000085,0.7649887240476817,0.29563129785030756,0.13433695749623
6.100000000000087,0.7649470159349221,0.2970149342775647,0.13450350173702766
6.200000000000088,0.7767037777491533,0.3029280563079903,0.13500486196224248
6.3000000000000895,0.7820161010016928,0.3112112970294498,0.13640211103595895
6.400000000000091,0.7923889334126377,0.31425162029432124,0.13675004062916246
6.500000000000092,0.7988917459736263,0.31322797277387554,0.13641747629595655
6.600000000000094,0.806819230053458,0.31590385557914563,0.1370011813978531
6.700000000000095,0.8153998988126161,0.3174281843790065,0.13767697001499454
6.800000000000097,0.8247857331372376,0.32091672289679535,0.1388202705252154
6.900000000000098,0.8269124386012766,0.29069733488383415,0.13911755252254324
7.0000000000000995,0.7936877309197296,0.26648445062424947,0.1294039240500804
7.100000000000101,0.8000251031177316,0.27398921248384883,0.12998379488907083
7.200000000000102,0.8053277209931929,0.2771592153167574,0.13008268325383185
7.300000000000104,0.8019264126081341,0.2811312440360266,0.13089244355607133
7.400000000000105,0.8016796370693872,0.2823861132254822,0.13203476955552346
7.500000000000107,0.811272824691578,0.2849814055651984,0.1306579288038288
7.600000000000108,0.8155780587139226,0.28536157095236436,0.13062507684663077
7.700000000000109,0.8274521549001094,0.2887154440227154,0.12929640468145248
7.800000000000111,0.8323889236460925,0.2952354950122125,0.1291152674650714
7.900000000000112,0.8399663057459811,0.2987437232649824,0.1286022076739862
8.000000000000114,0.85011408336965,0.3014166265736409,0.12816059253615247
8.100000000000115,0.8558900392437412,0.30172798934538575,0.12833798319620018
8.200000000000117,0.8662370876783911,0.306271378683752,0.12732975517284292
8.300000000000118,0.8690095214008329,0.3106890447442857,0.12764269770957828
8.40000000000012,0.8685818946387484,0.32363378270745086,0.13000789245369884
8.50000000000012,0.8717742140383171,0.33128955179504194,0.13121897690556963
8.600000000000122,0.8780315185687441,0.3302488728124104,0.1310432226857403
8.700000000000124,0.8863406824580218,0.3317317078542061,0.13157481221723646
8.800000000000125,0.8900615854524241,0.3328500133243268,0.13236484027772222
8.900000000000126,0.880509529942412,0.34483360373628474,0.13460051624890523
9.000000000000128,0.8422985905899059,0.36335233023509933,0.1316317553154502
9.10000000000013,0.7908074813787965,0.3389609869472234,0.12626925909132763
9.20000000000013,0.7928198240096016,0.3370248102147378,0.1261806501567296
9.300000000000132,0.7935567050392193,0.3469337568060846,0.12796266833605335
9.400000000000134,0.7973929911258172,0.3464230749276271,0.1282924219825863
9.500000000000135,0.8032493351913904,0.34650093232335033,0.12852857174459478
9.600000000000136,0.8081388323313411,0.3502133883927563,0.12936245194449084
9.700000000000138,0.8152727177496608,0.3513326528122389,0.12996996932840463
9.80000000000014,0.8222313204009501,0.3185758284976442,0.12959770087654074
9.90000000000014,0.8291769997576149,0.3273963285654415,0.1310284405409172
10.000000000000142,0.8308006671112551,0.32946646086268416,0.13131515338800162
10.100000000000144,0.8064205342447286,0.30411663645888914,0.12212586077344603
10.200000000000145,0.8111422242299291,0.3054404791135996,0.12233936805810455
10.300000000000146,0.8105808735774519,0.3105295946068279,0.12387208671022813
10.400000000000148,0.8104175502793559,0.3143666580935745,0.12676114604479943
10.50000000000015,0.8205765283283393,0.31615942326393215,0.128597366959423
10.60000000000015,0.8254343386132396,0.317371625255956,0.1293470230683828
10.700000000000152,0.8328249753440428,0.31653543932216466,0.1291251008873755
10.800000000000153,0.8370918863324205,0.3210839655623881,0.13114512085907293
10.900000000000155,0.8450496024357322,0.325674576108803,0.1324939777170852
11.000000000000156,0.8452947719829377,0.32480514962362156,0.13271071508359922
11.100000000000158,0.8524018296036836,0.3290770466890503,0.13417296584879096
11.20000000000016,0.8586428222298231,0.32847087254197554,0.13440083445770615
11.30000000000016,0.8626356232040105,0.333396822836181,0.13574375130619187
11.400000000000162,0.8687524864577663,0.33580062844957387,0.13646763875227286
11.500000000000163,0.8763790392926317,0.3383435644795161,0.1371485965976428
11.600000000000165,0.8837085962155893,0.3409889216072474,0.1377837951876559
11.700000000000166,0.8894471510197323,0.34353406009035964,0.13872949762622083
11.800000000000168,0.8919909032844139,0.3418491476723095,0.13951059592662382
11.900000000000169,0.8999025444004204,0.3612115574674138,0.14182338661957608
12.00000000000017,0.904204571675764,0.35269284814591906,0.14097799683255707
12.100000000000172,0.9072097789835678,0.35756295899507556,0.14223734894570603
12.200000000000173,0.8936779639811668,0.3481930761482151,0.141188807460991
12.300000000000175,0.8916519338296561,0.35621925860194287,0.14349224850123357
12.400000000000176,0.888009560013343,0.3593751176592746,0.1447355539941582
